year,Country,GDPPC_I,FC,FR
1989,"Afghanistan",150.1634,4159,147.95
1990,"Afghanistan",154.19,3060,103.25
1991,"Afghanistan",153.7579,5477,171.81
1992,"Afghanistan",154.6032,2537,72.69
1993,"Afghanistan",157.7073,1972,51.37
1994,"Afghanistan",162.681,1886,45.36
1995,"Afghanistan",170.288,1601,36.22
1996,"Afghanistan",181.1873,1455,31.61
1997,"Afghanistan",192.7446,1273,26.97
1998,"Afghanistan",201.1814,1232,25.69
1999,"Afghanistan",209.6829,1143,23.43
2000,"Afghanistan",217.6893,995,20.09
2001,"Afghanistan",226.2404,1004,19.58
2002,"Afghanistan",231.9725,992,18.56
2003,"Afghanistan",241.6213,1013,18.17
2004,"Afghanistan",234.9966,815,14.03
2005,"Afghanistan",252.4079,885,14.70
2006,"Afghanistan",258.4187,839,13.47
2007,"Afghanistan",285.9171,906,14.15
2008,"Afghanistan",288.7582,785,11.90
2009,"Afghanistan",340.9314,960,14.14
2010,"Afghanistan",360.7056,897,12.78
2011,"Afghanistan",373.4517,847,11.67
2012,"Afghanistan",417.0551,883,11.76
2013,"Afghanistan",415.0035,901,11.54
1989,"Albania",1925.568,187,13.69
1990,"Albania",1710.137,214,15.34
1991,"Albania",1211.405,248,17.64
1992,"Albania",1131.022,396,28.16
1993,"Albania",1247.187,434,31.05
1994,"Albania",1359.021,419,30.06
1995,"Albania",1549.311,443,32.11
1996,"Albania",1700.836,208,15.18
1997,"Albania",1536.934,214,15.60
1998,"Albania",1743.059,206,15.14
1999,"Albania",1931.302,183,13.58
2000,"Albania",2085.537,178,13.28
2001,"Albania",2252.565,163,12.28
2002,"Albania",2324.851,161,12.05
2003,"Albania",2466.579,146,11.04
2004,"Albania",2623.046,142,10.82
2005,"Albania",2781.511,137,10.53
2006,"Albania",2939.071,131,10.26
2007,"Albania",3136.09,124,9.81
2008,"Albania",3398.413,117,9.38
2009,"Albania",3536.154,118,9.55
2010,"Albania",3685.487,122,9.83
2011,"Albania",3790.018,124,9.91
2012,"Albania",3857.255,128,10.18
2013,"Albania",3916.145,132,10.39
1989,"Algeria",2589.73,430,7.14
1990,"Algeria",2544.478,418,6.71
1991,"Algeria",2452.814,416,6.37
1992,"Algeria",2438.793,470,6.87
1993,"Algeria",2334.802,493,6.90
1994,"Algeria",2265.893,482,6.45
1995,"Algeria",2306.85,510,6.51
1996,"Algeria",2358.806,554,6.77
1997,"Algeria",2345.439,526,6.26
1998,"Algeria",2427.068,608,7.04
1999,"Algeria",2468.227,615,6.92
2000,"Algeria",2487.286,548,6.01
2001,"Algeria",2567.151,598,6.38
2002,"Algeria",2675.725,604,6.28
2003,"Algeria",2830.965,626,6.35
2004,"Algeria",2912.29,630,6.23
2005,"Algeria",3038.749,596,5.75
2006,"Algeria",3041.481,603,5.69
2007,"Algeria",3092.039,620,5.71
2008,"Algeria",3098.41,610,5.50
2009,"Algeria",3091.058,708,6.24
2010,"Algeria",3143.629,699,6.00
2011,"Algeria",3171.735,710,5.95
2012,"Algeria",3215.207,750,6.14
2013,"Algeria",3243.99,803,6.46
1989,"American Samoa",,3,14.60
1990,"American Samoa",,3,14.76
1991,"American Samoa",,3,13.24
1992,"American Samoa",,3,14.48
1993,"American Samoa",,3,15.72
1994,"American Samoa",,3,12.85
1995,"American Samoa",,3,13.88
1996,"American Samoa",,3,13.73
1997,"American Samoa",,3,12.74
1998,"American Samoa",,3,12.97
1999,"American Samoa",,3,12.72
2000,"American Samoa",,3,12.24
2001,"American Samoa",,3,11.83
2002,"American Samoa",,3,11.67
2003,"American Samoa",,3,11.52
2004,"American Samoa",,3,11.50
2005,"American Samoa",,3,11.58
2006,"American Samoa",,3,11.47
2007,"American Samoa",,3,11.54
2008,"American Samoa",,3,11.46
2009,"American Samoa",,3,11.34
2010,"American Samoa",,3,11.44
2011,"American Samoa",,3,11.39
2012,"American Samoa",,3,10.93
2013,"American Samoa",,3,11.04
1989,"Andorra",24497.91,1,3.21
1990,"Andorra",24462.54,1,3.21
1991,"Andorra",24127.96,1,3.24
1992,"Andorra",23430.23,1,3.29
1993,"Andorra",22390.67,1,3.37
1994,"Andorra",22301.34,1,3.38
1995,"Andorra",22504.66,1,3.36
1996,"Andorra",23397.17,1,3.30
1997,"Andorra",25592.02,1,3.14
1998,"Andorra",26530.09,1,3.08
1999,"Andorra",27494.75,1,3.00
2000,"Andorra",27255.99,1,3.01
2001,"Andorra",29298.84,1,2.88
2002,"Andorra",29444.25,1,2.86
2003,"Andorra",29769.19,1,2.84
2004,"Andorra",30329.59,1,2.80
2005,"Andorra",31268.97,1,2.74
2006,"Andorra",33125.39,1,2.62
2007,"Andorra",33840.23,1,2.59
2008,"Andorra",35628.41,1,2.49
2009,"Andorra",35177.33,1,2.53
2010,"Andorra",36132.98,1,2.49
2011,"Andorra",36794.67,1,2.47
2012,"Andorra",37366.5,1,2.46
2013,"Andorra",37870.98,1,2.45
1989,"Angola",1595.538,551,14.77
1990,"Angola",1547.232,569,14.79
1991,"Angola",1482.906,441,11.11
1992,"Angola",1336.665,280,6.80
1993,"Angola",973.8143,297,6.91
1994,"Angola",976.0331,249,5.62
1995,"Angola",1045.359,262,5.74
1996,"Angola",1130.046,264,5.65
1997,"Angola",1186.963,295,6.15
1998,"Angola",1234.33,350,7.13
